drug,condition,line_signal,treatment_phase,likely_regimen,combination,authority_method,n_items,res_code,criteria_summary,sched
Bortezomib,?,,null,V-based (VCd/VRd/Vd/VTd),,RESTRICTED,2,11099_11099_R,Listing of Pharmaceutical Benefits (NHL) - Schedule 4 part 1 Multiple myeloma,2026-07-01
Carfilzomib,?,,Continuing treatment - once weekly treatment regimen,Kd,dexamethasone,STREAMLINED,2,12696_12849_R,Listing of Pharmaceutical Benefits (NHL) - Schedule 4 part 1 Multiple myeloma Continuing treatment - once weekly treatment regimen Patient must have previously received PBS-subsidised treatment with this drug for this co,2026-07-01
Carfilzomib,?,,Continuing treatment - twice weekly treatment regimen,Kd,dexamethasone,STREAMLINED,2,12697_12930_R,Listing of Pharmaceutical Benefits (NHL) - Schedule 4 part 1 Multiple myeloma Continuing treatment - twice weekly treatment regimen Patient must have previously received PBS-subsidised treatment with this drug for this c,2026-07-01
Carfilzomib,?,L2+ (>=1 prior),Initial treatment - once weekly treatment regimen,Kd,dexamethasone,STREAMLINED,2,12695_12694_R,Listing of Pharmaceutical Benefits (NHL) - Schedule 4 part 1 Multiple myeloma Initial treatment - once weekly treatment regimen The condition must be confirmed by a histological diagnosis; AND The treatment must be in co,2026-07-01
Carfilzomib,?,L2+ (>=1 prior),Initial treatment - twice weekly treatment regimen,Kd,dexamethasone,STREAMLINED,2,12910_12934_R,Listing of Pharmaceutical Benefits (NHL) - Schedule 4 part 1 Multiple myeloma Initial treatment - twice weekly treatment regimen The condition must be confirmed by a histological diagnosis; AND The treatment must be in c,2026-07-01
Carfilzomib,RRMM,,Continuing treatment for Cycles 13 onwards,KRd (n/m),lenalidomide + dexamethasone,STREAMLINED,2,14444_14364_R,Listing of Pharmaceutical Benefits (NHL) - Schedule 4 part 1 Relapsed and/or refractory multiple myeloma Continuing treatment for Cycles 13 onwards Patient must have previously received PBS-subsidised treatment with this,2026-07-01
Carfilzomib,RRMM,,Continuing treatment for Cycles 3 to 12,KRd (n/m),lenalidomide + dexamethasone,STREAMLINED,2,14419_14363_R,Listing of Pharmaceutical Benefits (NHL) - Schedule 4 part 1 Relapsed and/or refractory multiple myeloma Continuing treatment for Cycles 3 to 12 Patient must have previously received PBS-subsidised treatment with this dr,2026-07-01
Carfilzomib,RRMM,L2+ (>=1 prior),Initial treatment for Cycles 1 to 3,KRd (n/m),lenalidomide + dexamethasone,STREAMLINED,2,14388_14389_R,Listing of Pharmaceutical Benefits (NHL) - Schedule 4 part 1 Relapsed and/or refractory multiple myeloma Initial treatment for Cycles 1 to 3 The condition must be confirmed by a histological diagnosis; AND The treatment ,2026-07-01
Daratumumab,?,L1 (untreated/1st-line),Continuing treatment as first line drug therapy from week 25 onwards (administered once every four weeks),,,AUTHORITY_REQUIRED,4,17413_17413_R,Listing of Pharmaceutical Benefits (NHL) - Schedule 4 part 1 Untreated multiple myeloma Continuing treatment as first line drug therapy from week 25 onwards (administered once every four weeks) Patient must have previous,2026-07-01
Daratumumab,RRMM,L2 (2nd-line),Continuing treatment of second-line drug therapy for weeks 10 to 24 (administered every 3 weeks),DVd,bortezomib + dexamethasone,AUTHORITY_REQUIRED,4,12912_12845_R,Listing of Pharmaceutical Benefits (NHL) - Schedule 4 part 1 Relapsed and/or refractory multiple myeloma Continuing treatment of second-line drug therapy for weeks 10 to 24 (administered every 3 weeks) Patient must have ,2026-07-01
Daratumumab,RRMM,L2 (2nd-line),Continuing treatment of second-line drug therapy from week 25 until disease progression (administered every 4 weeks),,,AUTHORITY_REQUIRED,4,12911_12691_R,Listing of Pharmaceutical Benefits (NHL) - Schedule 4 part 1 Relapsed and/or refractory multiple myeloma Continuing treatment of second-line drug therapy from week 25 until disease progression (administered every 4 weeks,2026-07-01
Daratumumab,RRMM,L2 (2nd-line),Initial treatment as second-line drug therapy for weeks 1 to 9 (administered once weekly),DVd,bortezomib + dexamethasone,AUTHORITY_REQUIRED,4,17411_17491_R,Listing of Pharmaceutical Benefits (NHL) - Schedule 4 part 1 Relapsed and/or refractory multiple myeloma Initial treatment as second-line drug therapy for weeks 1 to 9 (administered once weekly) The condition must be con,2026-07-01
Daratumumab,newly-dx,L1 (untreated/1st-line),Initial treatment as first-line drug therapy from week 0 to week 24,Dara 1L (n/m),,AUTHORITY_REQUIRED,4,17615_17660_R,Listing of Pharmaceutical Benefits (NHL) - Schedule 4 part 1 Untreated multiple myeloma Initial treatment as first-line drug therapy from week 0 to week 24 The condition must be newly diagnosed; AND The condition must be,2026-07-01
Daratumumab,newly-dx,L1 (untreated/1st-line),Initial treatment from week 0 to week 24,Dara 1L (n/m),,AUTHORITY_REQUIRED,2,18443_18406_R,Listing of Pharmaceutical Benefits (NHL) - Schedule 4 part 1 Newly diagnosed systemic light chain amyloidosis Initial treatment from week 0 to week 24 The condition must have histological evidence consistent with a diagn,2026-07-01
Daratumumab,newly-dx,L1 (untreated/1st-line),Transitioning from non-PBS to PBS-subsided treatment - Grandfather arrangements,Dara 1L (n/m),,AUTHORITY_REQUIRED,4,17700_17661_R,Listing of Pharmaceutical Benefits (NHL) - Schedule 4 part 1 Untreated multiple myeloma Transitioning from non-PBS to PBS-subsided treatment - Grandfather arrangements Patient must have received non-PBS-subsidised treatm,2026-07-01
Lenalidomide,?,,"Continuing treatment of triple therapy (this drug, bortezomib and dexamethasone) for treatment cycles 5 and 6 (administered using 28-day treatment cycles)",Rd / R-maint,,AUTHORITY_REQUIRED,10,13789_13813_R,"Listing of Pharmaceutical Benefits (NHL) - Schedule 4 part 1 Multiple myeloma Continuing treatment of triple therapy (this drug, bortezomib and dexamethasone) for treatment cycles 5 and 6 (administered using 28-day treat",2026-07-01
Lenalidomide,?,,"Continuing treatment of triple therapy (this drug, bortezomib and dexamethasone) for treatment cycles 5 to 8 inclusive (administered using 21-day treatment cycles)",Rd / R-maint,,AUTHORITY_REQUIRED,10,13793_13811_R,"Listing of Pharmaceutical Benefits (NHL) - Schedule 4 part 1 Multiple myeloma Continuing treatment of triple therapy (this drug, bortezomib and dexamethasone) for treatment cycles 5 to 8 inclusive (administered using 21-",2026-07-01
Lenalidomide,?,,"Continuing treatment until progression in patients initiated on dual combination therapy (this drug and dexamethasone), or, in patients initiated on triple therapy (this drug, bortezomib and dexamethasone during treatment cycles 1 up to 8) and are now being treated with treatment cycle 9 or beyond",Rd / R-maint,,AUTHORITY_REQUIRED,10,13792_13787_R,"Listing of Pharmaceutical Benefits (NHL) - Schedule 4 part 1 Multiple myeloma Continuing treatment until progression in patients initiated on dual combination therapy (this drug and dexamethasone), or, in patients initia",2026-07-01
Lenalidomide,?,L2+ (>=1 prior),Initial treatment as monotherapy or dual combination therapy with dexamethasone for progressive disease,Rd / R-maint,,AUTHORITY_REQUIRED,10,13799_13803_R,Listing of Pharmaceutical Benefits (NHL) - Schedule 4 part 1 Multiple myeloma Initial treatment as monotherapy or dual combination therapy with dexamethasone for progressive disease The condition must be confirmed by a h,2026-07-01
Lenalidomide,RRMM,,Continuing treatment as monotherapy or dual combination therapy with dexamethasone following initial treatment for progressive disease,Rd / R-maint,,AUTHORITY_REQUIRED,10,13800_13805_R,Listing of Pharmaceutical Benefits (NHL) - Schedule 4 part 1 Multiple myeloma Continuing treatment as monotherapy or dual combination therapy with dexamethasone following initial treatment for progressive disease Patient,2026-07-01
Lenalidomide,RRMM,,"Triple combination therapy consisting of carfilzomib, lenalidomide and dexamethasone",Rd / R-maint,,AUTHORITY_REQUIRED,10,14361_14362_R,"Listing of Pharmaceutical Benefits (NHL) - Schedule 4 part 1 Relapsed and/or refractory multiple myeloma Triple combination therapy consisting of carfilzomib, lenalidomide and dexamethasone Patient must be undergoing con",2026-07-01
Lenalidomide,RRMM,,"Triple combination therapy consisting of elotuzumab, lenalidomide and dexamethasone",Rd / R-maint,,AUTHORITY_REQUIRED,10,13806_13782_R,"Listing of Pharmaceutical Benefits (NHL) - Schedule 4 part 1 Relapsed and/or refractory multiple myeloma Triple combination therapy consisting of elotuzumab, lenalidomide and dexamethasone Patient must be undergoing conc",2026-07-01
Lenalidomide,newly-dx,L1 (untreated/1st-line),Continuing treatment with lenalidomide monotherapy following initial treatment with lenalidomide therapy in newly diagnosed disease,Rd / R-maint,,AUTHORITY_REQUIRED,6,13802_13804_R,Listing of Pharmaceutical Benefits (NHL) - Schedule 4 part 1 Multiple myeloma Continuing treatment with lenalidomide monotherapy following initial treatment with lenalidomide therapy in newly diagnosed disease Patient mu,2026-07-01
Lenalidomide,newly-dx,L1 (untreated/1st-line),"Initial treatment in combination with dexamethasone, of newly diagnosed disease in a patient ineligible for stem cell transplantation",Rd / R-maint,dexamethasone,AUTHORITY_REQUIRED,10,13788_13812_R,"Listing of Pharmaceutical Benefits (NHL) - Schedule 4 part 1 Multiple myeloma Initial treatment in combination with dexamethasone, of newly diagnosed disease in a patient ineligible for stem cell transplantation The cond",2026-07-01
Lenalidomide,newly-dx,L1 (untreated/1st-line),Initial treatment with lenalidomide monotherapy in newly diagnosed disease,Rd / R-maint,,AUTHORITY_REQUIRED,6,13790_13791_R,Listing of Pharmaceutical Benefits (NHL) - Schedule 4 part 1 Multiple myeloma Initial treatment with lenalidomide monotherapy in newly diagnosed disease The treatment must be as monotherapy; AND The condition must be con,2026-07-01
Lenalidomide,newly-dx,L1 (untreated/1st-line),"Initial treatment with triple therapy (this drug, bortezomib and dexamethasone) for the first 4 treatment cycles (cycles 1 to 4) administered in a 21-day treatment cycle",Rd / R-maint,,AUTHORITY_REQUIRED,10,13783_13785_R,"Listing of Pharmaceutical Benefits (NHL) - Schedule 4 part 1 Multiple myeloma Initial treatment with triple therapy (this drug, bortezomib and dexamethasone) for the first 4 treatment cycles (cycles 1 to 4) administered ",2026-07-01
Lenalidomide,newly-dx,L1 (untreated/1st-line),"Initial treatment with triple therapy (this drug, bortezomib and dexamethasone) for the first 4 treatment cycles (cycles 1 to 4) administered in a 28-day treatment cycle",Rd / R-maint,,AUTHORITY_REQUIRED,10,13794_13786_R,"Listing of Pharmaceutical Benefits (NHL) - Schedule 4 part 1 Multiple myeloma Initial treatment with triple therapy (this drug, bortezomib and dexamethasone) for the first 4 treatment cycles (cycles 1 to 4) administered ",2026-07-01
Lenalidomide,newly-dx,L1 (untreated/1st-line),"Triple combination therapy consisting of daratumumab, lenalidomide and dexamethasone",Rd / R-maint,,AUTHORITY_REQUIRED,10,17414_17414_R,"Listing of Pharmaceutical Benefits (NHL) - Schedule 4 part 1 Untreated multiple myeloma Triple combination therapy consisting of daratumumab, lenalidomide and dexamethasone Patient must be undergoing concurrent treatment",2026-07-01
Pomalidomide,?,,Continuing treatment - dual therapy in combination with dexamethasone,Pd,dexamethasone,AUTHORITY_REQUIRED,8,13763_13755_R,Listing of Pharmaceutical Benefits (NHL) - Schedule 4 part 1 Multiple myeloma Continuing treatment - dual therapy in combination with dexamethasone Patient must have previously received PBS-subsidised treatment with this,2026-07-01
Pomalidomide,?,,"Continuing treatment with triple therapy (this drug, bortezomib and dexamethasone)",Pom-triple (n/m),,AUTHORITY_REQUIRED,8,13747_13768_R,"Listing of Pharmaceutical Benefits (NHL) - Schedule 4 part 1 Multiple myeloma Continuing treatment with triple therapy (this drug, bortezomib and dexamethasone) Patient must have previously received PBS-subsidised treatm",2026-07-01
Pomalidomide,?,,Initial treatment - dual therapy in combination with dexamethasone,Pd,dexamethasone,AUTHORITY_REQUIRED,8,13764_13746_R,Listing of Pharmaceutical Benefits (NHL) - Schedule 4 part 1 Multiple myeloma Initial treatment - dual therapy in combination with dexamethasone The treatment must form part of dual combination therapy limited to: (i) th,2026-07-01
Pomalidomide,?,L2+ (>=1 prior),"Initial treatment with triple therapy (this drug, bortezomib and dexamethasone)",Pom-triple (n/m),,AUTHORITY_REQUIRED,8,13756_13757_R,"Listing of Pharmaceutical Benefits (NHL) - Schedule 4 part 1 Multiple myeloma Initial treatment with triple therapy (this drug, bortezomib and dexamethasone) The condition must be confirmed by a histological diagnosis; A",2026-07-01
